Date,Open,High,Low,Close,Adj Close,Volume
22-06-2015,744.650024,751.549988,732.5,747.700012,713.34967,1350579
23-06-2015,750,760,741.650024,756.5,721.745239,980083
24-06-2015,751.900024,759.799988,739.200012,753.650024,723.13678,2982650
25-06-2015,753,759.799988,745.099976,750.200012,719.826294,1858338
26-06-2015,744.099976,754.900024,743.799988,750.25,719.874268,764357
29-06-2015,743,743,727.5,736.700012,706.872925,1100309
30-06-2015,737,759.5,737,755.349976,724.767822,1348105
01-07-2015,757.450012,765.599976,755.099976,760.799988,729.99707,1025215
02-07-2015,763.099976,772.5,761.099976,762.900024,732.012207,973819
03-07-2015,762,778.400024,758.400024,772.700012,741.415405,1068877
06-07-2015,765,786.150024,762,783.549988,751.826172,652931
07-07-2015,793,827.900024,790.049988,824.599976,791.213989,2464459
08-07-2015,819.799988,835,797.349976,802.25,769.768921,1933525
09-07-2015,810,814.900024,795,796.950012,764.683594,613555
10-07-2015,806,806,781.700012,795.299988,763.100342,1027281
13-07-2015,805.200012,821.200012,803.299988,817.650024,784.54541,1275702
14-07-2015,823,827.799988,810.299988,822.700012,789.390991,780973
15-07-2015,826.5,840.5,823.25,837.849976,803.927612,1095558
16-07-2015,853,854.299988,843.299988,848.049988,813.7146,1169553
17-07-2015,851.799988,852.400024,823.75,825.400024,791.98175,1089597
20-07-2015,830,855.950012,827.25,852.299988,817.792419,1437246
21-07-2015,853,869.700012,811.099976,816.049988,783.010254,4611552
22-07-2015,820,845,820,843.299988,809.156982,2035530
23-07-2015,846,851.799988,836.099976,846.5,812.227356,1188579
24-07-2015,852,856,845,849,814.62616,1132540
27-07-2015,847,859.599976,836,853.150024,818.608215,1153262
28-07-2015,857,858.200012,825,835.150024,801.336975,1009835
29-07-2015,834.400024,852.799988,826.25,846.849976,812.563171,1010065
30-07-2015,848,866.450012,847.5,857.549988,822.829956,1318726
31-07-2015,864.5,885,855.150024,882.799988,847.057617,1842105
03-08-2015,880,888,875,877.5,841.972351,763822
04-08-2015,884,908.849976,878.150024,905.700012,869.030457,2178289
05-08-2015,905,926.799988,885.75,923.299988,885.917969,2003128
06-08-2015,920,924.5,910.099976,916.099976,879.009399,923303
07-08-2015,911,924.400024,895.200012,898.650024,862.265991,1416068
10-08-2015,903.5,916.25,895.400024,902.150024,865.624268,732357
11-08-2015,905,906.950012,881,883.400024,847.633484,1091087
12-08-2015,890,895.5,867,871.349976,836.07135,721554
13-08-2015,872.150024,886.950012,862.349976,874.349976,838.949829,1251179
14-08-2015,880,900,879.549988,895.25,859.003662,880842
17-08-2015,903.5,907.25,895,900.049988,863.609314,577133
18-08-2015,906.950012,914.900024,891.900024,901.349976,864.85675,622790
19-08-2015,898.5,902.599976,881.599976,899.75,863.321472,618923
20-08-2015,905,914.25,879.549988,883.200012,847.441528,1404599
21-08-2015,875,893,864,886.75,850.847778,905933
24-08-2015,858,877.200012,825.5,837.5,803.591736,1176140
25-08-2015,850,866,811.75,852.150024,817.648743,1329631
26-08-2015,851,868.099976,847,851.900024,817.408752,1265081
27-08-2015,860,865,850.5,855,820.38324,1335712
28-08-2015,866.849976,874.099976,850,858.25,823.501709,1077558
31-08-2015,857,862.75,845.049988,848.599976,814.242371,1260477
01-09-2015,844,844.099976,802.799988,819.099976,785.936768,1438466
02-09-2015,829.900024,830,799.150024,806,773.367126,1500676
03-09-2015,815,833,806.5,826.599976,793.133057,887079
04-09-2015,824,824,792,812.849976,779.93988,1101752
07-09-2015,815,819.950012,785.049988,788,756.095886,874378
08-09-2015,791.099976,800,778,791.5,759.454285,1489813
09-09-2015,800,822.900024,796,821.150024,787.903748,1412900
10-09-2015,817,817,800.299988,807.950012,775.238159,887236
11-09-2015,815,824.900024,810.549988,816.150024,783.106323,1034469
14-09-2015,822,842.400024,819,840.25,806.230408,1115176
15-09-2015,840.099976,848,823.599976,831.099976,797.450928,832597
16-09-2015,840,840,818.099976,823.950012,790.590393,665278
18-09-2015,826,849.900024,824,841.049988,806.998108,1139255
21-09-2015,838.299988,838.299988,824,829.700012,796.107605,688544
22-09-2015,831.200012,839.400024,802.099976,804.700012,772.119751,826254
23-09-2015,795.099976,804,786.099976,794.099976,761.949036,1281278
24-09-2015,794.900024,814,785.349976,806.349976,773.702942,1503108
28-09-2015,810,813,790.049988,794.450012,762.284851,739132
29-09-2015,783,809.900024,780,804.799988,772.215698,1366194
30-09-2015,808,844.900024,807.900024,841.599976,807.525757,1734244
01-10-2015,845.799988,849,836.150024,839.650024,805.654846,633622
05-10-2015,843,856.950012,842.400024,855.400024,820.767029,882680
06-10-2015,859.900024,864.099976,849.700012,853.700012,819.135925,779669
07-10-2015,855,868,852.200012,865.049988,830.026367,983606
08-10-2015,865,879.950012,860,874.150024,838.757874,952597
09-10-2015,876.5,884.299988,846.200012,853.799988,819.231812,1362132
12-10-2015,857,865,846.049988,859.25,824.461182,773525
13-10-2015,862.700012,867.799988,857.25,865.349976,830.31427,800729
14-10-2015,863.900024,869.5,860.049988,862.25,827.339722,404366
15-10-2015,866,878.25,864.200012,870.049988,834.823975,623054
16-10-2015,871.950012,885.200012,865.599976,882.5,846.769775,658119
19-10-2015,882.5,892.400024,867,879.25,843.651428,1247569
20-10-2015,874,888.900024,872.549988,875.450012,840.005432,1806905
21-10-2015,874,881.549988,847.950012,856.25,821.582581,1442218
23-10-2015,863,866.099976,850.400024,858.599976,823.837585,2540806
26-10-2015,830.049988,844,811.200012,817.700012,784.593323,3455887
27-10-2015,818,829.900024,818,827.099976,793.612732,1247705
28-10-2015,829.5,838,823.599976,828.349976,796.932129,1108455
29-10-2015,831,834.799988,820.400024,829.349976,797.894104,1500496
30-10-2015,835.599976,840,826.400024,830.650024,799.144775,810491
02-11-2015,831,837,825.5,830.099976,798.615479,716702
03-11-2015,832,832.700012,812.049988,814.200012,783.318604,1599110
04-11-2015,814.5,822.5,800.549988,802.200012,771.773926,1783909
05-11-2015,807,811.5,797.150024,805.849976,775.285339,1016171
06-11-2015,808.549988,816,800,801.200012,770.811707,918564
09-11-2015,790.900024,818.400024,784.25,816.400024,785.435303,1163084
10-11-2015,814.700012,816,796.799988,797.799988,767.540771,751899
13-11-2015,807,808,792.5,800.400024,770.042114,765985
16-11-2015,796,809.950012,795.200012,800.950012,770.571228,604535
17-11-2015,807.450012,813.25,800.349976,807.650024,777.017212,500272
18-11-2015,807.950012,824.5,807,821.75,790.582336,1253226
19-11-2015,827,833.799988,819.099976,823.700012,792.458374,1038035
20-11-2015,821.400024,831.799988,818.549988,829.200012,797.749817,712339
23-11-2015,838.200012,852,835,850.299988,818.049438,1475762
24-11-2015,850,861.75,846.200012,856.599976,824.110535,771337
26-11-2015,861,865.950012,851.799988,861.849976,829.161377,678200
27-11-2015,862.599976,864,852,859.099976,826.515747,444323
30-11-2015,859,859,834,838.5,806.697021,1679737
01-12-2015,843,848,831.650024,844.599976,812.565735,720255
02-12-2015,847.950012,867.200012,844.799988,848.549988,816.365845,980956
03-12-2015,849,849.200012,839,842.400024,810.449097,540473
04-12-2015,841.5,841.5,829.450012,834.700012,803.041199,779530
07-12-2015,842,873.849976,841,871.450012,838.397461,1602605
08-12-2015,874.049988,877.400024,857.200012,860.75,828.103088,1058074
09-12-2015,866.450012,866.450012,836.950012,840,808.140198,751034
10-12-2015,844.5,861.200012,842.200012,859.200012,826.611938,636140
11-12-2015,860.950012,863.549988,848.75,858.400024,825.842285,780634
14-12-2015,860,878.400024,853,875.450012,842.245667,889790
15-12-2015,878.5,880,866.450012,878.549988,845.227966,861784
16-12-2015,880,883.950012,859.099976,866.5,833.635071,900351
17-12-2015,871.5,878.5,864,876.099976,842.870911,716229
18-12-2015,874.5,885.900024,868,879.450012,846.093872,1098597
21-12-2015,879,884,866.700012,873.5,840.36969,896692
22-12-2015,874,887,873.549988,880.950012,847.537048,663204
23-12-2015,882.950012,883.950012,874.75,878.950012,845.612915,350212
24-12-2015,880.5,883.900024,873.549988,881.799988,848.354797,403140
28-12-2015,882,886.25,876.75,881.049988,847.63324,633270
29-12-2015,883.700012,885,878.599976,880.099976,846.719177,602111
30-12-2015,881.150024,883,875,878.150024,844.843079,450359
31-12-2015,879.950012,886.950012,875,883.549988,850.038269,526825
01-01-2016,882,885.599976,876.900024,878.75,845.42041,294006
04-01-2016,876.200012,892.450012,871.700012,880.799988,847.392639,709103
05-01-2016,881.299988,905,881.299988,900.650024,866.489929,1372748
06-01-2016,904.5,911.900024,884,886.400024,852.780396,1716479
07-01-2016,883,891.549988,869,872.349976,839.263184,990333
08-01-2016,879,881.950012,866.599976,874.599976,841.427856,886022
11-01-2016,870,884,861.599976,873.849976,840.70636,801102
12-01-2016,882,885.5,870.200012,872.900024,839.792358,998419
13-01-2016,879.950012,883.5,850.049988,868.549988,835.607178,901426
14-01-2016,863.5,897,851.099976,889.400024,855.666565,2296682
15-01-2016,893,894.950012,874.299988,879.25,845.901428,1301590
18-01-2016,890,893,841.650024,850.299988,818.049438,2335330
19-01-2016,867.900024,868.400024,826,845.549988,813.479553,2443365
20-01-2016,834,856,830,840.349976,808.476807,2247202
21-01-2016,850,856,841,844.450012,812.421326,1138753
22-01-2016,853,873.400024,849.200012,869.950012,836.954285,1774017
25-01-2016,870,882,868.150024,878.599976,845.276184,1794107
27-01-2016,880,881.799988,855.150024,858.549988,825.986511,969509
28-01-2016,854,865,852.150024,858.950012,826.371521,1392051
29-01-2016,864,875,859,869.900024,836.906189,1320575
01-02-2016,874.200012,890,871.299988,887.400024,853.742371,786217
02-02-2016,889.900024,894.75,878,882.5,849.028137,920875
03-02-2016,876.200012,883.950012,859.049988,863.700012,830.941223,540771
04-02-2016,865,895.950012,865,889.349976,855.618408,1658831
